,step,loss_step
105,525,"tensor(0.6971, device='cuda:0')"
106,525,"tensor(0.6971, device='cuda:0')"
107,525,"tensor(0.6971, device='cuda:0')"
108,525,"tensor(0.6971, device='cuda:0')"
109,525,"tensor(0.6971, device='cuda:0')"
110,525,"tensor(0.6971, device='cuda:0')"
111,525,"tensor(0.6971, device='cuda:0')"
112,525,"tensor(0.6971, device='cuda:0')"
113,525,"tensor(0.6971, device='cuda:0')"
114,700,"tensor(0.7008, device='cuda:0')"
115,700,"tensor(0.7008, device='cuda:0')"
116,700,"tensor(0.7008, device='cuda:0')"
117,700,"tensor(0.7008, device='cuda:0')"
118,700,"tensor(0.7008, device='cuda:0')"
119,700,"tensor(0.7008, device='cuda:0')"
120,700,"tensor(0.7008, device='cuda:0')"
121,700,"tensor(0.7008, device='cuda:0')"
122,700,"tensor(0.7008, device='cuda:0')"
123,700,"tensor(0.7008, device='cuda:0')"
124,700,"tensor(0.7008, device='cuda:0')"
125,700,"tensor(0.7008, device='cuda:0')"
126,700,"tensor(0.7008, device='cuda:0')"
127,700,"tensor(0.7008, device='cuda:0')"
128,700,"tensor(0.7008, device='cuda:0')"
129,700,"tensor(0.7008, device='cuda:0')"
130,700,"tensor(0.7008, device='cuda:0')"
131,700,"tensor(0.7008, device='cuda:0')"
132,700,"tensor(0.7008, device='cuda:0')"
133,700,"tensor(0.7008, device='cuda:0')"
134,700,"tensor(0.7008, device='cuda:0')"
135,700,"tensor(0.7008, device='cuda:0')"
136,700,"tensor(0.7008, device='cuda:0')"
137,700,"tensor(0.7008, device='cuda:0')"
138,700,"tensor(0.7008, device='cuda:0')"
139,700,"tensor(0.7008, device='cuda:0')"
140,700,"tensor(0.7008, device='cuda:0')"
141,700,"tensor(0.7008, device='cuda:0')"
142,700,"tensor(0.7008, device='cuda:0')"
143,700,"tensor(0.7008, device='cuda:0')"
144,700,"tensor(0.7008, device='cuda:0')"
145,700,"tensor(0.7008, device='cuda:0')"
146,700,"tensor(0.7008, device='cuda:0')"
147,700,"tensor(0.7008, device='cuda:0')"
148,700,"tensor(0.7008, device='cuda:0')"
149,700,"tensor(0.7008, device='cuda:0')"
150,700,"tensor(0.7008, device='cuda:0')"
151,700,"tensor(0.7008, device='cuda:0')"
152,875,"tensor(0.6881, device='cuda:0')"
153,875,"tensor(0.6881, device='cuda:0')"
154,875,"tensor(0.6881, device='cuda:0')"
155,875,"tensor(0.6881, device='cuda:0')"
156,875,"tensor(0.6881, device='cuda:0')"
157,875,"tensor(0.6881, device='cuda:0')"
158,875,"tensor(0.6881, device='cuda:0')"
159,875,"tensor(0.6881, device='cuda:0')"
160,875,"tensor(0.6881, device='cuda:0')"
161,875,"tensor(0.6881, device='cuda:0')"
162,875,"tensor(0.6881, device='cuda:0')"
163,875,"tensor(0.6881, device='cuda:0')"
164,875,"tensor(0.6881, device='cuda:0')"
165,875,"tensor(0.6881, device='cuda:0')"
166,875,"tensor(0.6881, device='cuda:0')"
167,875,"tensor(0.6881, device='cuda:0')"
168,875,"tensor(0.6881, device='cuda:0')"
169,875,"tensor(0.6881, device='cuda:0')"
170,875,"tensor(0.6881, device='cuda:0')"
171,875,"tensor(0.6881, device='cuda:0')"
172,875,"tensor(0.6881, device='cuda:0')"
173,875,"tensor(0.6881, device='cuda:0')"
174,875,"tensor(0.6881, device='cuda:0')"
175,875,"tensor(0.6881, device='cuda:0')"
176,875,"tensor(0.6881, device='cuda:0')"
177,875,"tensor(0.6881, device='cuda:0')"
178,875,"tensor(0.6881, device='cuda:0')"
179,875,"tensor(0.6881, device='cuda:0')"
180,875,"tensor(0.6881, device='cuda:0')"
181,875,"tensor(0.6881, device='cuda:0')"
182,875,"tensor(0.6881, device='cuda:0')"
183,875,"tensor(0.6881, device='cuda:0')"
184,875,"tensor(0.6881, device='cuda:0')"
185,875,"tensor(0.6881, device='cuda:0')"
186,875,"tensor(0.6881, device='cuda:0')"
187,875,"tensor(0.6881, device='cuda:0')"
188,875,"tensor(0.6881, device='cuda:0')"
189,875,"tensor(0.6881, device='cuda:0')"
190,1050,"tensor(0.6883, device='cuda:0')"
191,1050,"tensor(0.6883, device='cuda:0')"
192,1050,"tensor(0.6883, device='cuda:0')"
193,1050,"tensor(0.6883, device='cuda:0')"
194,1050,"tensor(0.6883, device='cuda:0')"
195,1050,"tensor(0.6883, device='cuda:0')"
196,1050,"tensor(0.6883, device='cuda:0')"
197,1050,"tensor(0.6883, device='cuda:0')"
198,1050,"tensor(0.6883, device='cuda:0')"
199,1050,"tensor(0.6883, device='cuda:0')"
200,1050,"tensor(0.6883, device='cuda:0')"
201,1050,"tensor(0.6883, device='cuda:0')"
202,1050,"tensor(0.6883, device='cuda:0')"
203,1050,"tensor(0.6883, device='cuda:0')"
204,1050,"tensor(0.6883, device='cuda:0')"
205,1050,"tensor(0.6883, device='cuda:0')"
206,1050,"tensor(0.6883, device='cuda:0')"
207,1050,"tensor(0.6883, device='cuda:0')"
208,1050,"tensor(0.6883, device='cuda:0')"
209,1050,"tensor(0.6883, device='cuda:0')"
210,1050,"tensor(0.6883, device='cuda:0')"
211,1050,"tensor(0.6883, device='cuda:0')"
212,1050,"tensor(0.6883, device='cuda:0')"
213,1050,"tensor(0.6883, device='cuda:0')"
214,1050,"tensor(0.6883, device='cuda:0')"
